0.87
class4,p
nonevent,0.2
Ib,0.46
nonevent,0.11
II,0.49
II,0.52
II,0.42
nonevent,0.39
II,0.62
II,0.52
II,0.67
II,0.49
nonevent,0.42
Ib,0.53
II,0.59
II,0.63
Ib,0.45
II,0.6
nonevent,0.2
nonevent,0.05
II,0.61
II,0.61
II,0.59
II,0.56
II,0.56
Ib,0.44
Ib,0.43
nonevent,0.17
nonevent,0.09
nonevent,0.53
nonevent,0.52
II,0.52
II,0.61
nonevent,0.1
II,0.62
nonevent,0.1
nonevent,0.06
nonevent,0.59
Ib,0.46
nonevent,0.14
nonevent,0.46
nonevent,0.42
nonevent,0.39
nonevent,0.19
nonevent,0.04
nonevent,0.11
II,0.5
nonevent,0.28
II,0.66
Ib,0.46
II,0.58
nonevent,0.02
nonevent,0.18
nonevent,0.08
nonevent,0.03
nonevent,0.14
nonevent,0.16
II,0.66
nonevent,0.1
nonevent,0.05
Ib,0.43
II,0.45
nonevent,0.42
II,0.57
nonevent,0.01
nonevent,0.07
Ib,0.52
II,0.46
Ib,0.46
II,0.4
nonevent,0.02
II,0.42
II,0.42
nonevent,0.5
nonevent,0.49
nonevent,0.04
nonevent,0.53
nonevent,0.2
nonevent,0.36
nonevent,0.04
Ib,0.49
II,0.5
nonevent,0.02
nonevent,0.3
II,0.53
II,0.43
II,0.59
Ib,0.44
nonevent,0.6
II,0.45
nonevent,0.03
II,0.53
nonevent,0.02
II,0.49
nonevent,0.02
nonevent,0.06
II,0.58
nonevent,0.04
nonevent,0.13
nonevent,0.11
nonevent,0.56
nonevent,0.14
nonevent,0.03
nonevent,0.07
II,0.57
nonevent,0.05
II,0.51
II,0.41
II,0.44
nonevent,0.03
II,0.63
II,0.44
Ib,0.48
nonevent,0.61
Ib,0.45
Ib,0.46
nonevent,0.1
nonevent,0.07
II,0.65
II,0.59
nonevent,0.1
Ib,0.44
Ib,0.42
II,0.47
nonevent,0.41
nonevent,0.05
nonevent,0.3
nonevent,0.06
Ib,0.4
nonevent,0.13
II,0.36
nonevent,0.14
II,0.45
nonevent,0.07
nonevent,0.11
nonevent,0.07
II,0.45
nonevent,0.12
II,0.41
II,0.57
II,0.54
Ib,0.46
nonevent,0.19
nonevent,0.01
II,0.47
II,0.44
nonevent,0.12
nonevent,0.49
Ib,0.41
nonevent,0.43
Ib,0.47
nonevent,0.04
nonevent,0.05
nonevent,0.09
Ib,0.35
nonevent,0.01
nonevent,0.12
II,0.56
II,0.44
