0.5
class4,p
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
nonevent,0.5
